latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.137,139.872,325.5,2.7,1.6,2021-01-29,0125,T,62,6.0NRT,297.6,52.7,D
-20.152,139.871,347.7,2.7,1.6,2021-01-29,0125,T,92,6.0NRT,297.7,196,D
-20.154,139.896,332.6,2.7,1.6,2021-01-29,0125,T,77,6.0NRT,296.4,91.6,D
-20.156,139.863,324.2,2.7,1.6,2021-01-29,0125,T,54,6.0NRT,296.4,49.4,D
-20.158,139.889,327,2.7,1.6,2021-01-29,0125,T,65,6.0NRT,294.8,62.4,D
-40.511,172.774,313.5,1,1,2021-01-29,0230,A,43,6.0NRT,303.5,11.6,D
-34.695,172.96,312.1,1,1,2021-01-29,0230,A,34,6.0NRT,301.5,7.3,D
-29.02,151.435,326.5,1.8,1.3,2021-01-29,0410,A,71,6.0NRT,298.6,32.7,D
-27.59,147.207,350.7,1.1,1.1,2021-01-29,0410,A,93,6.0NRT,318.8,41.1,D
-25.791,148.34,332,1.4,1.2,2021-01-29,0410,A,68,6.0NRT,304.4,23.6,D
-22.977,146.325,331.2,1.2,1.1,2021-01-29,0410,A,70,6.0NRT,303.5,21.3,D
-22.937,146.3,336.3,1.2,1.1,2021-01-29,0410,A,78,6.0NRT,302.7,30.6,D
-22.939,146.288,332.4,1.2,1.1,2021-01-29,0410,A,66,6.0NRT,304.3,22.8,D
-21.169,148.059,338.2,1.6,1.2,2021-01-29,0410,A,85,6.0NRT,300.5,52.4,D
-21.156,148.071,326.4,1.6,1.2,2021-01-29,0410,A,60,6.0NRT,297.6,23.2,D
-21.53,145.225,343.3,1.1,1,2021-01-29,0410,A,74,6.0NRT,316.2,27.4,D
-20.165,139.877,415.1,1.2,1.1,2021-01-29,0415,A,87,6.0NRT,301.7,478.1,D
-20.157,139.864,349.9,1.2,1.1,2021-01-29,0415,A,88,6.0NRT,298.7,68.3,D
-20.147,139.862,337.9,1.2,1.1,2021-01-29,0415,A,69,6.0NRT,298.9,36.6,D
-31.989,115.945,326.9,1.6,1.2,2021-01-29,0550,A,33,6.0NRT,311.9,9.8,D
-27.555,150.842,306.2,4.1,1.9,2021-01-29,1155,T,67,6.0NRT,290.8,50.6,N
-27.552,150.835,302.7,4.1,1.9,2021-01-29,1155,T,51,6.0NRT,290.8,32.6,N
-21.022,164.691,331.2,1.5,1.2,2021-01-29,1200,T,100,6.0NRT,290.6,51.5,N
-21.024,164.677,328.5,1.5,1.2,2021-01-29,1200,T,100,6.0NRT,291.8,46.3,N
-21.011,164.689,322.5,1.5,1.2,2021-01-29,1200,T,100,6.0NRT,291.5,36,N
-21.013,164.674,322.3,1.5,1.2,2021-01-29,1200,T,100,6.0NRT,291.7,33.8,N
-17.888,138.284,320.8,1.3,1.1,2021-01-29,1340,T,100,6.0NRT,296.2,21.8,N
-17.89,138.272,316.8,1.3,1.1,2021-01-29,1340,T,94,6.0NRT,296.2,15.9,N
-28.004,148.859,301.6,4.2,1.9,2021-01-29,1335,T,42,6.0NRT,289.5,31.4,N
-28.002,148.854,302,4.2,1.9,2021-01-29,1335,T,46,6.0NRT,288.7,33.8,N
-23.619,146.583,303.5,3.8,1.8,2021-01-29,1335,T,56,6.0NRT,290.3,34.1,N
-23.613,146.574,300.8,3.8,1.8,2021-01-29,1335,T,30,6.0NRT,290.2,25.3,N
-21.954,140.462,311.2,1.5,1.2,2021-01-29,1335,T,54,6.0NRT,292.3,13,N
-21.956,140.447,316.2,1.5,1.2,2021-01-29,1335,T,72,6.0NRT,294.5,21.8,N
-20.148,139.886,310.1,1.5,1.2,2021-01-29,1335,T,49,6.0NRT,295,12.3,N
-20.152,139.857,308.7,1.5,1.2,2021-01-29,1335,T,47,6.0NRT,293.6,10.6,N
-20.141,139.855,314.1,1.5,1.2,2021-01-29,1335,T,88,6.0NRT,292.6,16.2,N
-20.144,139.841,320,1.5,1.2,2021-01-29,1335,T,100,6.0NRT,295.2,25.5,N
-23.608,146.592,305,1.9,1.3,2021-01-29,1510,A,62,6.0NRT,292.6,13.1,N
-23.611,146.61,306.4,1.9,1.3,2021-01-29,1510,A,68,6.0NRT,292.4,15.3,N
-23.614,146.603,311.4,1.9,1.3,2021-01-29,1510,A,82,6.0NRT,292.7,23.9,N
-27.378,150.836,308.5,1,1,2021-01-29,1510,A,75,6.0NRT,291.1,9.2,N
-27.38,150.846,306.3,1,1,2021-01-29,1510,A,67,6.0NRT,291.2,7.6,N
-27.555,150.848,316.9,1,1,2021-01-29,1510,A,94,6.0NRT,292.2,15.6,N
-27.557,150.858,301.8,1,1,2021-01-29,1510,A,44,6.0NRT,291.6,4.7,N
-27.983,149.876,305.5,1.1,1,2021-01-29,1510,A,65,6.0NRT,293.1,6.2,N
-27.985,149.887,317.9,1.1,1,2021-01-29,1510,A,96,6.0NRT,293.6,16.4,N
-27.998,148.849,316.8,1.2,1.1,2021-01-29,1510,A,94,6.0NRT,294.5,16.7,N
-28,148.861,307.1,1.2,1.1,2021-01-29,1510,A,70,6.0NRT,294.2,7.7,N
-28.01,148.859,312,1.2,1.1,2021-01-29,1510,A,84,6.0NRT,294.5,11.9,N
-29.008,151.448,300.6,1,1,2021-01-29,1510,A,31,6.0NRT,287.3,4.6,N
-17.894,138.298,308.8,3.3,1.7,2021-01-29,1645,A,75,6.0NRT,293.5,35.5,N
-17.891,138.293,312.1,3.3,1.7,2021-01-29,1645,A,84,6.0NRT,293.7,49.6,N
-36.451,174.185,314.7,2.1,1.4,2021-01-29,2255,T,0,6.0NRT,301.7,27.2,D
-26.721,150.601,323.5,1.9,1.3,2021-01-30,0035,T,62,6.0NRT,303.3,31.6,D
-32.44,137.845,326.7,1.5,1.2,2021-01-30,0035,T,74,6.0NRT,305.3,21.3,D
-37.277,149.378,302.1,2.1,1.4,2021-01-30,0035,T,19,6.0NRT,286,7.1,D
-18.164,144.414,326.5,1.1,1,2021-01-30,0030,T,69,6.0NRT,303.9,10.9,D
-21.963,140.45,342.1,1.6,1.3,2021-01-30,0030,T,84,6.0NRT,306.1,49.2,D
-23.787,150.047,317.8,1.6,1.2,2021-01-30,0030,T,48,6.0NRT,300.9,16,D
